OG2_mESC_rep1,OG2_mESC_rep2,ciTotiSC_P1_rep1,ciTotiSC_P1_rep2,ciTotiSC_P2_rep1,ciTotiSC_P2_rep2,ciTotiSC_P4_rep1,ciTotiSC_P4_rep2,ciTotiSC_P8_rep1,ciTotiSC_P8_rep2,gene
26.4113133849063,24.010543637349,31.3980410547294,31.3745079282085,49.0203665929494,47.2166382329742,57.5830862382223,56.3206319317487,92.2692573337354,92.997316181998,Plekhg2
69.3222114354399,71.3532003178713,42.3813862145588,44.560447775989,53.5746756047238,55.1100847710065,65.1181912225454,65.2618293006602,68.6621007293736,68.7616519648712,Plekhg3
89.6247856700957,89.6708263606154,14.415640522276,12.7227335299428,37.9423176453902,38.3437129274489,42.3578329571414,43.3098530361232,17.0998686899332,16.2886208343015,Plekhg1
5.86918075220139,7.81670032419838,13.1621065638172,13.2785811113481,1.47707319300789,1.46921815123959,1.55043312434632,1.42583878308224,3.18069229898076,2.98718651978539,Plekhg6
0,0.0884909470663968,0.29846046629971,0.0308804211891816,0,0.0288081990439135,0,0.207934822532827,0.0875419898802043,0.0563620098072715,4930592I03Rik
4.85105756049299,3.71661977678867,16.5645558796339,18.4664918711306,5.04666674277697,6.10733819730966,4.06213478578735,2.88138254081204,4.66890612694423,4.67804681400354,Plekhg4
50.0677051922486,54.3039445164122,24.5036042832062,21.4927731476704,17.1402035105291,17.0256456349529,15.4733225809763,14.4960276280028,12.4601432262824,14.0905024518179,Plekhg5
167.032093039691,158.339801284139,134.426594021389,138.560449875858,158.569961741035,163.400104977077,167.043664817072,164.387329699524,212.435228775962,220.347277341528,Nsa2
158.198377111632,157.543382760542,210.384782694665,207.88699544557,128.413050717124,127.245815176966,116.344501650948,114.780022038121,164.578940974784,166.239747926547,Nampt
0,0.0294969823554656,0,0.123521684756726,0.123089432750658,0,0.124034649947705,0.267344771827921,0.175083979760409,0,Vmo1
141.309510049175,135.686118835142,184.44856817322,181.978322067847,173.309921312926,187.138060989262,179.88125108666,184.200547789437,163.791063065862,168.35332329432,Man2a1
0,0,0.0596920932599419,0.0617608423783631,0,0,0.248069299895411,0,0.0583613265868029,0.0563620098072715,F930015N05Rik
92.4395968471719,88.8744078370179,88.8516808174235,90.2325907147885,108.903375626144,117.422219302991,106.63879029254,115.344416556424,141.29277166665,142.257712753553,4931406P16Rik
65.2197738688502,64.8638641996689,16.0571730869244,16.8298295481039,4.67739844452499,5.38713322121182,1.55043312434632,2.94079249010713,5.25251939281226,5.57983897091988,Vwf
72.4364706100774,66.4272042645085,87.5086087190748,88.2871241798701,80.5004890189301,90.8322515854592,86.9172809508546,84.3324230243853,78.2333582896093,76.9623243918293,Mier1
58.1528011264036,63.0940452583409,62.4976216431592,57.6228659390128,57.0519520799298,52.6613878522739,55.3814712016505,52.42928025292,41.3198192234564,47.0340971841681,Mier2
58.5720283229894,57.5781095578688,48.261057400663,52.2496726520952,40.1271550767144,44.0765445371876,42.7609455694715,40.8740451150244,29.2973859465751,29.5900551488175,Mier3
4.28210636512653,4.07058356505425,9.64027306148062,9.60381098983546,4.24658542989769,4.43646265276268,4.24818676070891,4.84191086755012,6.18630061820111,5.86164901995624,Aqp11
0,0,0,0.0617608423783631,0,0,0,0,0,0,Aqp12
0.539006395610332,0.973400417730365,3.7009097821164,3.05716169772897,1.10780489475592,0.57616398087827,1.08530318704242,0.297049746475468,1.86756245077769,2.73355747565267,1810010H24Rik
0,0,0,0.123521684756726,0.123089432750658,0,0,0.178229847885281,0,0.0281810049036358,Tubal3
295.734842391535,291.400688689645,822.19889256244,812.247718539042,413.949762340462,423.56695054266,336.599031295586,329.220234018761,387.781834506012,380.725376248119,Dag1
267.976013017603,270.103867428998,172.450457427972,171.077533388066,184.203336111359,184.343665682002,157.337953458664,149.029857806742,471.851325454301,482.684251989473,Myadm
0,0,0.149230233149855,0,0,0,0,0,0,0,Gm15008
80.5515113439885,75.1583110417263,98.1039552727145,103.665573932082,38.2192688690792,45.5457626884272,32.1559829989426,33.031931808072,27.7216301287314,26.4901446094176,Sacs
2.9345903761007,3.86410468856599,6.41690002544375,6.45400802853894,2.09252035676118,1.9301493359422,1.95354573667636,2.58433279433657,5.57350668903968,5.12894289246171,Zfp712
205.301547128024,208.956623006118,96.7608831743658,89.6149822910048,57.7597163182461,59.6617802199448,53.9240640647649,48.4191086755012,49.5779469354891,45.9068569880227,Zfp710
1.3175711892697,1.50434610012875,1.93999303094811,3.02628127653979,2.21560978951184,2.62154611299613,3.03884892371878,1.51495370702489,3.997750871196,3.88897867670173,Zfp711
19.4641198414842,16.4298191719943,14.2664102891261,15.0696455403206,19.3558133000409,20.1657393307394,22.4812803030216,22.3975508842503,18.0920112419089,16.7676979176633,Zfp715
374.040493753814,370.482098384648,205.25126267431,201.587389522977,165.247563467758,159.280532513798,152.190515485835,159.990993451687,111.032423831392,113.935802825399,Mllt6
6.67769034561689,5.86989948873765,3.52183350233657,4.0144547545936,7.69308954691611,8.06629573229578,7.4110703343754,6.77273421964066,3.93938954460919,5.12894289246171,Zfp719
49.1693611995647,55.1298600223652,52.379811835599,54.1024979234461,76.8078060364104,83.8606674168322,83.6923800522142,87.9267249567384,75.2569306336823,76.6241523329856,Mllt1
24.7643493983191,21.7687729783336,27.3091326664234,28.7805525483172,20.5867076275475,23.7379560121847,19.5354573667636,19.4270534194956,24.8911057892714,24.4892932612595,Mllt3
0,0,0,0,0,0,0.0620173249738527,0,0.0583613265868029,0.0563620098072715,Btg4
