Gene,P0,TBLC_P6,TBLC_P6_r1,TBLC_P6_r2,,
Rpl35,716.666442,662.8855932,838.4407999,1070.732633,,
Rpl32,1449.947299,1366.761074,1559.388534,2257.737165,,
Rpl30,0.052246588,0.479413895,0.666222328,0.096371237,,
Rpl31,999.4249741,1068.661514,1149.756976,1525.267575,,
Cd302,6.008357573,35.95604216,13.75273234,14.11838628,,
Fam13b,46.13373684,60.59791638,47.39695991,45.10173912,,
Fam13c,12.80041396,7.814446495,5.187016697,4.095777591,,
Fam13a,1.30616469,5.513259797,1.855905057,2.409280936,,
Bcas2,212.4346252,112.2307929,195.1555548,179.4914297,,
Bcas3,79.72829267,53.93406323,73.14169416,84.37301837,,
Bcas1,1.828630566,4.17090089,6.091175571,6.023202339,,
Gm8369,0,0,0,0,,
Gm8363,0,0,0,0,,
Krtap28-13,0,0,0,0,,
Hist3h2ba,0.522465876,5.848849524,1.66555582,13.01011705,,
Mlycd,21.00312821,18.60125914,15.6086374,20.3343311,,
Hist4h4,0.313479526,1.00676918,0.951746183,0,,
Rpl3l,3.343781606,1.534124465,3.33111164,3.613921403,,
Ttbk2,41.43154396,50.96169708,41.02026049,45.87270901,,
Ammecr1l,88.71470573,65.15234839,77.37696468,33.15170567,,
Ttbk1,1.619644215,1.294417518,1.855905057,2.457466554,,
Ncor2,196.2904296,221.15363,215.04705,185.9964882,,
Ncor1,388.5578719,334.1035437,374.3217738,307.0387624,,
1810010D01Rik,0.20898635,1.438241686,0.285523855,0.289113712,,
Abhd17a,51.93310807,153.3645051,166.6031693,154.6758361,,
Gkn1,0,0.575296675,1.332444656,1.156454849,,
Gkn2,0,0.191765558,0.951746183,0.867341137,,
Gkn3,0,0,0,0.481856187,,
Magohb,5.799371223,11.50593349,7.947080628,4.625819396,,
Nkiras1,9.195399416,22.4845117,15.94174857,17.49137959,,
Ppme1,114.4200268,180.6431558,148.6627538,210.4747825,,
Gltpd2,0.574712464,0.287648337,1.427619274,0.915526756,,
Gm19276,0.104493175,0.095882779,0,0,,
Gm19277,0,0,0,0,,
Cep162,61.0762609,18.7930247,37.35603768,28.62225752,,
Gm14015,0.104493175,0.191765558,0.190349237,0.770969899,,
Fam234b,62.59141194,77.52122689,42.97134016,71.17015884,,
Lrriq1,1.044931752,0.862945012,0.951746183,0.38548495,,
Fam234a,78.68336091,143.3926961,97.41122183,117.4765384,,
Lrriq4,11.02402998,1.390300297,6.852572518,10.16716555,,
Vmn2r84,0,0,0,0,,
Vmn2r85,0,0,0.047587309,0,,
Vmn2r86,0,0,0,0,,
Vmn2r87,0,0,0,0,,
Gm15760,3.866247482,1.294417518,4.044921278,0.963712374,,
Vmn2r81,0,0,0,0.048185619,,
Vmn2r82,0,0,0,0,,
Vmn2r83,0,0.143824169,0,0.096371237,,
Tinf2,80.87771759,53.69435629,78.28112355,71.41108693,,
Vmn2r88,0,0.383531116,0.57104771,0.192742475,,
Vmn2r89,0,0,0,0,,
Egf,4.075233832,2.013538361,2.80765124,1.49375418,,
Slc4a11,24.03343029,32.31249655,29.17102051,48.47473243,,
Slc4a10,0,0.862945012,0.095174618,0.096371237,,
4930519G04Rik,0.156739763,0,0.190349237,1.397382943,,
Ptprz1,1.828630566,12.3688785,6.852572518,4.625819396,,
Pold1,216.6665987,100.8207422,177.167552,241.7472491,,
Pold2,182.2883441,102.9301633,164.7472643,221.7020317,,
Pold3,134.3782233,74.69268491,133.1017037,141.6175334,,
Pold4,5.43364511,11.84152322,3.949746659,7.227842807,,
Hdac1,338.1921615,198.141763,415.9606693,349.7312206,,
Hdac3,150.0521996,121.5793639,149.2338015,171.9744732,,
Hdac2,251.1493466,211.6612348,301.2276669,245.2166136,,
Hdac5,99.52974936,135.865898,98.64849187,161.4218227,,
Hdac4,95.29777577,75.36386436,58.19927909,64.13505851,,
Hdac7,38.55798164,134.763246,50.68048424,64.56872908,,
Hdac6,201.7763213,142.4338683,178.7379332,256.6847909,,
Hdac9,1.462904453,5.465318408,2.569714694,2.842951504,,
Hdac8,11.33750951,15.19742048,15.18035162,16.52766722,,
Gmpr,15.41274334,29.14836484,28.50479818,26.02023411,,
Gmps,185.7888655,111.5116721,198.5342538,148.8453762,,
1110032F04Rik,0.626959051,2.876483373,1.046920801,0.770969899,,
4930557J02Rik,0,0,0,0.096371237,,
Pvr,85.10969119,98.75926246,84.03918796,107.4539297,,
4732471J01Rik,3.866247482,2.253245308,3.33111164,5.589531771,,
Lix1l,36.41587155,124.4558473,54.43988167,66.11066887,,
Ikzf5,58.88190422,39.83929471,28.98067127,31.70613711,,
Ikzf4,3.866247482,6.615911757,4.806318224,3.324807691,,
Ikzf1,1.253918102,0.910886401,2.379365457,0.674598662,,
Ikzf3,1.149424927,0.287648337,0.761396946,0.578227425,,
Ikzf2,3.552767956,16.15624828,3.854572041,6.505058526,,
H2afv,143.5213761,133.2291215,154.1352943,202.4759698,,
