gene,P0,P1,P2,P4,P5,P6,P7,P10,P15
0610005C13Rik,0.731452226295018,3.09596712178177,4.54603207167344,2.21846222220297,2.27255031385814,4.99468066509168,2.17582479282301,5.92142286844517,1.39327994609679
0610009B22Rik,31.3479525555008,34.5319409737198,31.9387894266288,20.7056474072277,26.3507619725932,25.516303397751,31.8944073289421,13.64175901338,19.7845752345744
0610009E02Rik,0.522465875925013,0.476302634120273,0.233129849829407,0.369743703700495,0.216433363224584,0.542900072292574,0.371482281701489,0.449728319122418,0.696639973048393
0610009L18Rik,0.41797270074001,0.357226975590204,0.349694774744111,0.105641058200142,0.649300089673753,1.03151013735589,1.11444684510447,0.899456638244836,0.557311978438714
0610010F05Rik,45.9247504938086,39.9498834368379,40.5645938703169,24.2446228569325,35.1163131831888,31.43391418574,28.6572045884005,33.8045786540351,27.5869429327164
0610010K14Rik,56.2695748371239,70.6118655083304,67.8407863003575,62.4866859253837,46.5872814340918,44.6806759496788,42.2959112165838,43.3238280754596,48.3468141295585
0610012G03Rik,18.8087715333005,21.4336185354123,17.4847387372055,21.4979553437288,26.3507619725932,23.5075731302684,28.5510667936287,17.4644497259206,28.5622388949841
0610030E20Rik,64.4200425015541,83.948339263698,57.6413553703209,50.2323231741673,31.3287293267586,46.0922161376395,35.2908167616414,57.2654059682546,42.5647023532568
0610031O16Rik,0,0,0,0,0.324650044836877,0.0542900072292574,0.212275589543708,0,0
0610037L13Rik,34.2737614606808,43.9389179975951,38.0001655221934,33.2769333330446,36.6313467257609,38.0572950677094,38.2626750152533,47.0715640681464,31.209470792568
0610038B21Rik,0.313479525555008,0.119075658530068,0.233129849829407,0.316923174600425,0.432866726449169,0.162870021687772,0.583757871245196,0,0
0610039H22Rik,0.104493175185003,0,0,0,0.324650044836877,0.108580014458515,0,0,0
0610039K10Rik,0,0,0,0,0.108216681612292,0.108580014458515,0,0,0
0610040B10Rik,1.25391810222003,2.02428619501116,1.5736264863485,0.369743703700495,0.865733452898338,0.434320057834059,0.424551179087416,1.04936607795231,0.278655989219357
0610040F04Rik,7.10553591258017,8.2162204385747,4.13805483447198,6.18000190470828,3.03006708514418,0.922930122897375,3.13106494576969,2.02377743605088,6.61807974395973
0610040J01Rik,2.14211009129255,9.88327965799566,12.2975995785012,42.573346454657,33.0601962325553,33.334064438764,31.1514427655391,20.6125479597775,19.9935672264889
0610043K17Rik,0.313479525555008,0.476302634120273,0.233129849829407,0.158461587300212,0.324650044836877,0.434320057834059,0.849102358174831,0,0.208991991914518
1010001N08Rik,0.313479525555008,14.1700033650781,15.2117227013688,10.0887210581135,7.35873434963587,2.06302027471178,1.32672243464817,3.22305295371066,2.02025592184034
1110002J07Rik,7.73249496369019,19.230718852606,7.92641489419985,16.0574408464215,16.7735856499053,7.65489101932529,5.67837202029418,16.5649930876757,6.68774374126457
1110002L01Rik,16.3531819164529,24.1723586816038,19.5246249232129,11.8846190475159,17.8016441252221,12.9753117277925,14.9654290628314,6.67097006698254,17.6249913181243
1110004F10Rik,124.503618232931,162.002433430158,146.230698305496,122.754909628564,147.066470311105,140.068218651484,147.319259143333,109.508845706309,127.345787073246
